,Stillbirth rate (per 1000 total births)
Country,2015
Afghanistan,26.7
Albania,4
Algeria,19.3
Andorra,1.6
Angola,27.3
Antigua and Barbuda,6.4
Argentina,4.6
Armenia,13.8
Australia,2.7
Austria,3.6
Azerbaijan,16.5
Bahamas,10.3
Bahrain,5.5
Bangladesh,25.4
Barbados,8.5
Belarus,3
Belgium,3
Belize,9.8
Benin,30.3
Bhutan,16
Bolivia (Plurinational State of),12.9
Bosnia and Herzegovina,5.4
Botswana,15.2
Brazil,8.6
Brunei Darussalam,6.5
Bulgaria,5.7
Burkina Faso,21.2
Burundi,26.6
C̫te d'Ivoire,26.7
Cabo Verde,14.3
Cambodia,11.9
Cameroon,19.6
Canada,3.1
Central African Republic,34.4
Chad,39.9
Chile,3.1
China,7.2
Colombia,8.1
Comoros,30.5
Congo,15.1
Cook Islands,8.7
Costa Rica,6
Croatia,2
Cuba,6.2
Cyprus,3.6
Czechia,2.5
Democratic People's Republic of Korea,13.5
Democratic Republic of the Congo,27.3
Denmark,1.7
Djibouti,34.6
Dominica,11.6
Dominican Republic,11.1
Ecuador,7.7
Egypt,12.2
El Salvador,12.2
Equatorial Guinea,16.2
Eritrea,22.5
Estonia,2.7
Ethiopia,29.7
Fiji,11.9
Finland,1.8
France,4.7
Gabon,14
Gambia,23.9
Georgia,11.2
Germany,2.4
Ghana,22.7
Greece,3.6
Grenada,8
Guatemala,11.9
Guinea,21.1
Guinea-Bissau,36.7
Guyana,17.2
Haiti,24.9
Honduras,12.6
Hungary,3.7
Iceland,1.3
India,23
Indonesia,13.2
Iran (Islamic Republic of),6.4
Iraq,15.5
Ireland,2.7
Israel,4.2
Italy,3.3
Jamaica,18.8
Japan,2.1
Jordan,10.5
Kazakhstan,6.5
Kenya,22.5
Kiribati,16.3
Kuwait,5.1
Kyrgyzstan,10.2
Lao People's Democratic Republic,23.7
Latvia,3.6
Lebanon,9.9
Lesotho,19.5
Liberia,21.4
Libya,8.8
Lithuania,3.2
Luxembourg,2.8
Madagascar,18.2
Malawi,21.8
Malaysia,5.8
Maldives,7.7
Mali,32.5
Malta,3.5
Marshall Islands,15.6
Mauritania,27.1
Mauritius,9.5
Mexico,5.5
Micronesia (Federated States of),17.8
Monaco,5.7
Mongolia,7.3
Montenegro,3.9
Morocco,24.5
Mozambique,19.1
Myanmar,20
Namibia,11.3
Nauru,15.5
Nepal,18.4
Netherlands,1.8
New Zealand,2.3
Nicaragua,7.4
Niger,36.7
Nigeria,42.9
Niue,9.7
Norway,2.2
Oman,8.5
Pakistan,43.1
Palau,8.4
Panama,6.1
Papua New Guinea,15.9
Paraguay,13.4
Peru,9
Philippines,10.9
Poland,2.3
Portugal,2.2
Qatar,5.8
Republic of Korea,2.1
Republic of Moldova,7.9
Romania,4.1
Russian Federation,4.5
Rwanda,17.3
Saint Kitts and Nevis,7.5
Saint Lucia,12.1
Saint Vincent and the Grenadines,10.7
Samoa,11.1
San Marino,2.5
Sao Tome and Principe,16.3
Saudi Arabia,13.9
Senegal,24.5
Serbia,6
Seychelles,9.5
Sierra Leone,24.4
Singapore,2.6
Slovakia,2.9
Slovenia,2.9
Solomon Islands,17.6
Somalia,35.5
South Africa,17.4
South Sudan,30.1
Spain,2.9
Sri Lanka,4.9
Sudan,24.4
Suriname,19.3
Swaziland,12.3
Sweden,2.8
Switzerland,2.8
Syrian Arab Republic,11.1
Tajikistan,14
Thailand,5
The former Yugoslav republic of Macedonia,7.7
Timor-Leste,17.8
Togo,34.2
Tonga,8.6
Trinidad and Tobago,11.1
Tunisia,9.2
Turkey,7
Turkmenistan,17
Tuvalu,13.8
Uganda,21
Ukraine,8.8
United Arab Emirates,7.4
United Kingdom of Great Britain and Northern Ireland,2.9
United Republic of Tanzania,22.4
United States of America,3
Uruguay,6.6
Uzbekistan,12
Vanuatu,13.9
Venezuela (Bolivarian Republic of),7.1
Viet Nam,10.1
Yemen,29
Zambia,20.9
Zimbabwe,20.6
